[2020-12-13 02:51:39] [INFO   ] Peer 1006 starts connecting to Peer:1001 
[2020-12-13 02:51:40] [INFO   ] Peer: 1006 is connected from Peer: 1001 
[2020-12-13 02:51:40] [INFO   ] BITFIELD Message construction in progress 
[2020-12-13 02:51:40] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:40] [INFO   ] Peer 1006 got the 'not interested' message from Peer: 1001 
[2020-12-13 02:51:40] [INFO   ] Peer 1006 makes a connection to Peer 1001. 
[2020-12-13 02:51:40] [INFO   ] Peer 1006 starts connecting to Peer:1002 
[2020-12-13 02:51:40] [INFO   ] Peer: 1006 is connected from Peer: 1002 
[2020-12-13 02:51:40] [INFO   ] BITFIELD Message construction in progress 
[2020-12-13 02:51:40] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:40] [INFO   ] Peer 1006 makes a connection to Peer 1002. 
[2020-12-13 02:51:40] [INFO   ] Peer 1006 got the 'not interested' message from Peer: 1002 
[2020-12-13 02:51:40] [INFO   ] Peer 1006 starts connecting to Peer:1003 
[2020-12-13 02:51:40] [INFO   ] Peer: 1006 is connected from Peer: 1003 
[2020-12-13 02:51:40] [INFO   ] BITFIELD Message construction in progress 
[2020-12-13 02:51:40] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:40] [INFO   ] Peer 1006 makes a connection to Peer 1003. 
[2020-12-13 02:51:40] [INFO   ] Peer 1006 got the 'not interested' message from Peer: 1003 
[2020-12-13 02:51:40] [INFO   ] Peer 1006 starts connecting to Peer:1004 
[2020-12-13 02:51:40] [INFO   ] Peer: 1006 is connected from Peer: 1004 
[2020-12-13 02:51:40] [INFO   ] BITFIELD Message construction in progress 
[2020-12-13 02:51:40] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:40] [INFO   ] Peer 1006 makes a connection to Peer 1004. 
[2020-12-13 02:51:40] [INFO   ] Peer 1006 got the 'not interested' message from Peer: 1004 
[2020-12-13 02:51:40] [INFO   ] Peer 1006 starts connecting to Peer:1005 
[2020-12-13 02:51:40] [INFO   ] Peer: 1006 is connected from Peer: 1005 
[2020-12-13 02:51:40] [INFO   ] BITFIELD Message construction in progress 
[2020-12-13 02:51:41] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:41] [INFO   ] Peer 1006 makes a connection to Peer 1005. 
[2020-12-13 02:51:41] [INFO   ] Socket Opened on port: 1975 
[2020-12-13 02:51:41] [INFO   ] Peer 1006 got the 'interested' message from peer:1005 
[2020-12-13 02:51:41] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1005 for the piece index:58 
[2020-12-13 02:51:41] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:41] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1005 for the piece index:56 
